"32KUL_GSG","19/05/2013","15/06/2013","",""
"32KUL_HUB","19/05/2013","15/06/2013","",""
"32KUL_GROEPT","19/05/2013","15/06/2013","",""
"49ECB_KUL","19/05/2013","15/06/2013","",""
"01ALLIANCE_NETWORK","27/05/2013","18/06/2013","",""
"01ODIN_NDSU","30/05/2013","11/06/2013","",""
"01ALLIANCE_WWU","02/06/2013","18/06/2013","",""
"01ALLIANCE_PU","02/06/2013","18/06/2013","",""
"01ALLIANCE_LINF","02/06/2013","18/06/2013","",""
"01ALLIANCE_UW","06/06/2013","24/06/2013","",""
"44SFD_INST","09/06/2013","20/06/2013","",""
"01ALLIANCE_WU","09/06/2013","25/06/2013","",""
"01ALLIANCE_MRY","09/06/2013","25/06/2013","",""
"01NEU_INST","16/06/2013","01/07/2013","",""
"61UWSTSYD_INST","18/06/2013","18/06/2013","",""
"61ADELAIDE_INST","20/06/2013","02/07/2013","aio01",""
"45NOVO_INST","24/06/2013","16/07/2013","Impl1EU","NonExlEU"
"44SAL_INST","01/07/2013","15/07/2013","impl2EU","NonExlEU"
"32KUL_LIBIS_NETWORK","01/07/2013","22/07/2013","impl5EU","N/A"
"01ALLIANCE_UID","06/07/2013","01/08/2013","aio03","N/A"
"44MAN_INST","10/07/2013","23/07/2013","impl4EU","mig02V2"
"01GRI_INST","10/07/2013","22/07/2013","aio06","N/A"
"61UWSTSYD_INST","10/07/2013","23/07/2013","aio02AP","N/A"
"01ALLIANCE_WSU","11/07/2013","30/07/2013","aio01","mig02V7"
"01ALLIANCE_EWU","11/07/2013","25/07/2013","aio04","mig03V2"
"01ALLIANCE_SPU","11/07/2013","25/07/2013","aio02","mig03V3"
"01ALLIANCE_PCC","11/07/2013","25/07/2013","aio03","mig03V3"
"01CALS_USL","14/07/2013","31/07/2013","aio05","mig02V4"
"61ADELAIDE_INST","14/07/2013","15/07/2013","",""
"44IMP_INST","18/07/2013","29/07/2013","impl2EU","mig02V6"
"01NATIONAL_INST","25/07/2013","13/08/2013","aio04","mig02V5"
"01ALLIANCE_REED","25/07/2013","08/08/2013","aio05","mig02V8"
"01ALLIANCE_CONC","25/07/2013","08/08/2013","aio03","mig03V1"
"01ALLIANCE_WPC","25/07/2013","08/08/2013","aio06","mig03V1"
"01UMN_INST","01/08/2013","24/08/2013","aio01","N/A"
"61FUL_INST","01/08/2013","13/08/2013","aio01AP","N/A"
"01TARRANT_INST","02/08/2013","15/08/2013","aio03","N/A"
"01ALLIANCE_LCC","08/08/2013","22/08/2013","aio02","mig02V5"
"01ALLIANCE_EVSC","08/08/2013","22/08/2013","aio04","mig02V6"
"01ALLIANCE_STMU","08/08/2013","22/08/2013","aio05","mig02V6"
"01UT_DALLAS","09/08/2013","26/08/2013","aio06","N/A"
"44YORK_INST","14/08/2013","27/08/2013","impl4EU","N/A"
"41BIG_INST","15/08/2013","02/09/2013","Impl1EU","mig01EU"
"01ALLIANCE_WWU","27/10/2013","27/10/2013","",""
"01ALLIANCE_PU","20/08/2013","15/09/2013","",""
"01ALLIANCE_LINF","06/10/2013","06/10/2013","",""
"01ALLIANCE_WU","27/10/2013","27/10/2013","",""
"01ALLIANCE_UW","09/11/2013","09/11/2013","",""
"01UMB_INST","18/08/2013","03/09/2013","aio06","mig02V2"
"61MONASH_AU","18/08/2013","02/09/2013","","N/A"
"64OTAGO_INST","08/09/2013","16/09/2013","aio02AP","N/A"
"45NOVO_INST","28/09/2013","07/10/2013","Impl1EU",""
"39UBZ_INST","22/10/2013","30/10/2013","impl2EU","mig01EU"
"39UBZ_INST","22/10/2013","30/10/2013","",""
"61USOUTHAUS_INST","28/09/2013","03/10/2013","aio01AP",""
"01NATIONAL_INST","06/10/2013","18/10/2013","aio04","mig03V2"
"01BRAND_INST","15/10/2013","30/10/2013","aio05",""
"61CUR_INST","15/10/2013","05/11/2013","aio01AP","N/A"
"61UNSW_INST","24/10/2013","04/11/2013","aio03AP",""
"32KUL_LIBIS_NETWORK","30/06/2014","17/07/2014","impl5EU","N/A"
"32KUL_ACBE","30/06/2014","17/07/2014","impl3EU","N/A"
"32KUL_ACV","30/06/2014","17/07/2014","impl4EU","N/A"
"32KUL_BB","30/06/2014","17/07/2014","impl7EU","N/A"
"32KUL_BPB","30/06/2014","17/07/2014","impl3EU","N/A"
"32KUL_VES","30/06/2014","17/07/2014","impl7EU","N/A"
"32KUL_IMEC","14/07/2014","04/08/2014","","N/A"
"32KUL_KAHO","14/07/2014","04/08/2014","","N/A"
"32KUL_KATHO","14/07/2014","04/08/2014","","N/A"
"32KUL_KADOC","14/07/2014","04/08/2014","","N/A"
"32KUL_KBC","30/06/2014","17/07/2014","impl7EU","N/A"
"32KUL_KHBO","14/07/2014","04/08/2014","","N/A"
"32KUL_KMMR","30/06/2014","17/07/2014","impl3EU","N/A"
"32KUL_NBB","14/07/2014","04/08/2014","","N/A"
"32KUL_KHLIM","14/07/2014","04/08/2014","","N/A"
"32KUL_RMCA","14/07/2014","04/08/2014","","N/A"
"32KUL_RBINS","30/06/2014","17/07/2014","impl3EU","N/A"
"32KUL_KUL","30/06/2014","17/07/2014","impl6EU","N/A"
"32KUL_LESSIUS","14/07/2014","04/08/2014","","N/A"
"32KUL_LIBAR","30/06/2014","17/07/2014","impl4EU","N/A"
"32KUL_TIFA","30/06/2014","17/07/2014","impl4EU","N/A"
"32KUL_SERV","30/06/2014","17/07/2014","impl7EU","N/A"
"32KUL_VCV","30/06/2014","17/07/2014","impl3EU","N/A"
"32KUL_VLP","14/07/2014","04/08/2014","","N/A"
"32KUL_LUCAWENK","14/07/2014","04/08/2014","","N/A"
"32KUL_FIN","30/06/2014","17/07/2014","impl4EU","N/A"
"32KUL_KHM","14/07/2014","04/08/2014","","N/A"
"32KUL_KHK","14/07/2014","04/08/2014","","N/A"
"32KUL_KHL","14/07/2014","04/08/2014","","N/A"
"32KUL_GSB","14/07/2014","04/08/2014","","N/A"
"32KUL_GSG","14/07/2014","04/08/2014","","N/A"
"32KUL_HUB","14/07/2014","04/08/2014","","N/A"
"32KUL_GROEPT","14/07/2014","04/08/2014","","N/A"
"41BIG_INST","07/11/2013","27/11/2013","Impl1EU","mig01EU"
"61ADELAIDE_INST","14/11/2013","26/11/2013","aio02AP","N/A"
"01SWRSRCH_INST","15/08/2014","26/08/2014","aio11","N/A"
"01LILLY_INST","15/11/2013","30/11/2013","aio04",""
"64OTAGO_INST","20/11/2013","03/12/2013","aio01AP",""
"01SOUTHWEST_INST","15/08/2014","26/08/2014","aio12","N/A"
"39UBZ_INST","20/11/2013","23/11/2013","impl3EU","mig01EU"
"39UBZ_INST","20/11/2013","23/11/2013","impl3EU","mig01EU"
"01ALLIANCE_WSU","04/12/2013","18/12/2013","aio04","mig01"
"01ALLIANCE_REED","11/12/2013","23/12/2013","aio05","mig01"
"01ALLIANCE_EWU","11/12/2013","23/12/2013","aio02","mig04"
"01ALLIANCE_LCC","22/12/2013","31/12/2013","aio04","mig01"
"01ALLIANCE_EVSC","22/12/2013","31/12/2013","aio06","mig04"
"01ALLIANCE_CONC","09/12/2013","19/12/2013","aio03","mig02V7"
"01ALLIANCE_SPU","04/12/2013","16/12/2013","aio02","mig02V2"
"01ALLIANCE_PCC","04/12/2013","16/12/2013","aio03","mig03V3"
"01ALLIANCE_STMU","04/12/2013","16/12/2013","aio05","mig03V1"
"01ALLIANCE_WPC","09/12/2013","18/12/2013","aio05","mig03V1"
"01ALLIANCE_UID","19/12/2013","31/12/2013","aio03","N/A"
"61FUL_INST","01/12/2013","11/12/2013","aio03AP","N/A"
"01UMB_INST","06/12/2013","30/12/2013","aio06","mig04"
"01UMN_INST","07/12/2013","26/12/2013","aio01","N/A"
"61USOUTHAUS_INST","09/12/2013","20/12/2013","aio03AP","N/A"
"01PURDUE_PUCL","30/01/2014","06/02/2014","aio07","N/A"
"01PURDUE_PUNC","30/01/2014","06/02/2014","aio08","N/A"
"61MACQUARIE_INST","01/05/2014","12/05/2014","aio02AP","N/A"
"01ALLIANCE_UO","10/01/2014","21/01/2014","aio02","mig04"
"01ALLIANCE_PSU","10/01/2014","03/02/2014","aio01","mig05"
"01ALLIANCE_UPUGS","10/01/2014","11/02/2014","aio03","mig06"
"01ALLIANCE_SOU","02/02/2014","21/01/2014","aio05","mig04"
"01ALLIANCE_WOU","22/01/2014","03/02/2014","aio05","mig04"
"01ALLIANCE_UPORT","02/02/2014","21/01/2014","aio01","mig05"
"01ALLIANCE_OHSU","22/01/2014","11/02/2014","aio01","mig05"
"01ALLIANCE_OIT","02/02/2014","03/02/2014","aio02","mig06"
"01ALLIANCE_MHCC","02/02/2014","03/02/2014","aio03","mig01"
"01ALLIANCE_CC","10/01/2014","21/01/2014","aio07","mig01"
"01PAHL_NCNM","22/01/2014","11/02/2014","aio02","mig06"
"01PAHL_OCOM","22/01/2014","11/02/2014","aio03","mig06"
"01PAHL_UWS","22/01/2014","11/02/2014","aio04","mig01"
"01OKLA_NORMANLAW","31/08/2014","15/09/2014","aio06NA","mig05"
"61SLQ_INST","10/05/2014","25/05/2014","aio03AP","N/A"
"01UTAH_INST","10/05/2014","19/05/2014","aio08","N/A"
"01INCARNATE_INST","15/05/2014","25/05/2014","aio03","N/A"
"61CUR_INST","06/02/2014","17/02/2014","aio01AP","N/A"
"01UTON_UW","20/02/2014","10/03/2014","aio07","mig04"
"47BIBSYS_NETWORK","15/05/2015","25/06/2015","aio05EU","MIG01EU"
"47BIBSYS_NB","15/05/2015","25/06/2015","aio06EU","mig01EU"
